Species	Status	min_age	max_age
Phalacrocorax_chapalensis	extinct	0.0117	2.588
Anhinga_anhinga	extinct	0.0117	2.588
Tigrisoma	extinct	0.0117	2.588
Sturnella	extant	0.0117	2.588
Pelecaniformes	extinct	7.246	11.62
Psilopteridae	extinct	33.9	48.6
Phalacrocorax_goletensis	extinct	1.8	10.3
Andrewsornis	extinct	21	29
Phorusrhacidae	extinct	21	29
Devincenzia_gallinali	extinct	21	29
Brontornis_burmeisteri	extinct	16.3	17.5
Protibis	extinct	11.608	15.97
Psilopterus_bachmanni	extinct	16.3	17.5
Psilopterus_lemoinei	extinct	16.3	17.5
Psilopterus_lemoinei	extinct	16.3	17.5
Badiostes_patagonicus	extinct	16.3	17.5
Thegornis_debilis	extinct	15.97	23.03
Anisolornis	extinct	11.608	15.97
Liptornis_hesternus	extinct	11.608	15.97
Opisthodactylus_patagonicus	extinct	11.608	15.97
Cariama_santacrucensis	extinct	16.3	17.5
Cariaminae	extinct	16.3	17.5
Psilopterus_bachmanni	extinct	16.3	17.5
Cariaminae	extinct	16.3	17.5
Patagornis_marshi	extinct	16.3	17.5
Phorusrhacidae	extinct	21	29
Sula_brandi	extinct	7.246	11.62
Sula_figueroae	extinct	7.246	11.62
Ramphastosula_aguierrei	extinct	5.333	7.246
Sula_magna	extinct	7.246	11.62
